"GENERALLEDGERCD","DESCRIPTION","CREATUSERID","CREATDT"
"7013","SUBSIDY VALUE - APPROVAL MODIFICATIONS FY-2001","oper01","2008-11-07 00:00:00"
"7014","SUBSIDY VALUE - APPROVAL MODIFICATIONS FY-2001","oper01","2008-11-07 00:00:00"
"7015","SUBSIDY VALUE - DISBURSEMENTS - FY-2100 CONTRA","oper01","2008-11-07 00:00:00"
"7016","SUBSIDY VALUE - DISBURSEMENTS - 1ST QTR FY-2100","oper01","2008-11-07 00:00:00"
"7017","SUBSIDY VALUE - DISBURSEMENTS - 2ND QTR FY-2100","oper01","2008-11-07 00:00:00"
"7018","SUBSIDY VALUE - DISBURESMENTS - 3RD QTR FY-2100","oper01","2008-11-07 00:00:00"
"7019","SUBSIDY VALUE - DISBURSEMENTS - 4TH QTR FY-2100","oper01","2008-11-07 00:00:00"
"7100","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2000 CONTRA","oper01","2008-11-07 00:00:00"
"7101","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2000","oper01","2008-11-07 00:00:00"
"7102","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2000","oper01","2008-11-07 00:00:00"
"7103","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2000","oper01","2008-11-07 00:00:00"
"7104","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2000","oper01","2008-11-07 00:00:00"
"7105","ZERO SUBSIDY - DISBURSEMENTS - FY-2000 CONTRA","oper01","2008-11-07 00:00:00"
"7106","ZERO SUBSIDY - DISBURSEMENTS - 1ST QTR FY-2000","oper01","2008-11-07 00:00:00"
"7107","ZERO SUBSIDY - DISBURSEMENTS - 2ND QTR FY-2000","oper01","2008-11-07 00:00:00"
"7108","ZERO SUBSIDY - DISBURSEMENTS - 3RD QTR FY-2000","oper01","2008-11-07 00:00:00"
"7109","ZERO SUBSIDY - DISBURSEMENTS - 4TH QTR FY-2000","oper01","2008-11-07 00:00:00"
"7110","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2100 CONTRA","oper01","2008-11-07 00:00:00"
"7111","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2100","oper01","2008-11-07 00:00:00"
"7112","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2100","oper01","2008-11-07 00:00:00"
"7113","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2100","oper01","2008-11-07 00:00:00"
"7114","ZERO SUBSIDY - APPROVAL/MODIFICATIONS FY-2100","oper01","2008-11-07 00:00:00"
"7115","ZERO SUBSIDY - DISBURSEMENTS - FY-2100 CONTRA","oper01","2008-11-07 00:00:00"
"7116","ZERO SUBSIDY - DISBURSEMENTS - 1ST QTR FY-2100","oper01","2008-11-07 00:00:00"
"7117","ZERO SUBSIDY - DISBURSEMENTS - 2ND QTR FY-2100","oper01","2008-11-07 00:00:00"
"7118","ZERO SUBSIDY - DISBURSEMENTS - 3RD QTR FY-2100","oper01","2008-11-07 00:00:00"
"7119","ZERO SUBSIDY - DISBURSEMENTS - 4TH QTR FY-2100","oper01","2008-11-07 00:00:00"
"9565","FY=2006 DISB CONTRA","oper01","2008-11-07 00:00:00"
"9566","FY=2006 DISB RATE #1","oper01","2008-11-07 00:00:00"
"9100","FY=2010 APPV CONTRA       SUBSIDY AMT","cntrgp","2009-09-10 11:43:22"
"9101","FY=2010 APPV RATE #1      SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"9102","FY=2010 APPV RATE #2      SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"9105","FY=2010 DISB CONTRA       SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"9106","FY=2010 DISB RATE #1      SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"9107","FY=2010 DISB RATE #2      SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"9600","FY=2010 APPV CONTRA       ZEROSUB AMT","cntrgp","2009-09-10 11:43:23"
"9601","FY=2010 APPV RATE #1      ZEROSUB AMT","cntrgp","2009-09-10 11:43:23"
"9605","FY=2010 DISB CONTRA       ZEROSUB AMT","cntrgp","2009-09-10 11:43:23"
"9606","FY=2010 DISB RATE #1      ZEROSUB AMT","cntrgp","2009-09-10 11:43:23"
"8100","FY=2010 DECR CONTRA       SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"8101","FY=2010 DECR RATE #1      SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"8102","FY=2010 DECR RATE #2      SUBSIDY AMT","cntrgp","2009-09-10 11:43:23"
"8600","FY=2010 DECR CONTRA       ZEROSUB AMT","cntrgp","2009-09-10 11:43:23"
"8601","FY=2010 DECR RATE #1      ZEROSUB AMT","cntrgp","2009-09-10 11:43:23"
"9150","FY=2015 APPV CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:52"
"9151","FY=2015 APPV RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9152","FY=2015 APPV RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"PRGR","Outstanding Balance","oper01","2011-02-14 08:06:19"
"9153","FY=2015 APPV RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9154","FY=2015 APPV RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9155","FY=2015 DISB CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9156","FY=2015 DISB RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9157","FY=2015 DISB RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9158","FY=2015 DISB RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9159","FY=2015 DISB RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9650","FY=2015 APPV CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9651","FY=2015 APPV RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9655","FY=2015 DISB CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9656","FY=2015 DISB RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"8150","FY=2015 DECR CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8151","FY=2015 DECR RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8152","FY=2015 DECR RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8153","FY=2015 DECR RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8154","FY=2015 DECR RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8650","FY=2015 DECR CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"8651","FY=2015 DECR RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9140","FY=2014 APPV CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9141","FY=2014 APPV RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9142","FY=2014 APPV RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9143","FY=2014 APPV RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9144","FY=2014 APPV RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9145","FY=2014 DISB CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9146","FY=2014 DISB RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9147","FY=2014 DISB RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9148","FY=2014 DISB RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9149","FY=2014 DISB RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9640","FY=2014 APPV CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9641","FY=2014 APPV RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9645","FY=2014 DISB CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9646","FY=2014 DISB RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"8140","FY=2014 DECR CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8141","FY=2014 DECR RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8142","FY=2014 DECR RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8143","FY=2014 DECR RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8144","FY=2014 DECR RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8640","FY=2014 DECR CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"8641","FY=2014 DECR RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9110","FY=2011 APPV CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9111","FY=2011 APPV RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9112","FY=2011 APPV RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9113","FY=2011 APPV RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9114","FY=2011 APPV RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9115","FY=2011 DISB CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9116","FY=2011 DISB RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9117","FY=2011 DISB RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9118","FY=2011 DISB RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9119","FY=2011 DISB RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9610","FY=2011 APPV CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9611","FY=2011 APPV RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9615","FY=2011 DISB CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9616","FY=2011 DISB RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"8110","FY=2011 DECR CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8111","FY=2011 DECR RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8112","FY=2011 DECR RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8113","FY=2011 DECR RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8114","FY=2011 DECR RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"8610","FY=2011 DECR CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"8611","FY=2011 DECR RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9120","FY=2012 APPV CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9121","FY=2012 APPV RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9122","FY=2012 APPV RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9123","FY=2012 APPV RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9124","FY=2012 APPV RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9125","FY=2012 DISB CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9126","FY=2012 DISB RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9127","FY=2012 DISB RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9128","FY=2012 DISB RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9129","FY=2012 DISB RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:53"
"9620","FY=2012 APPV CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:53"
"9621","FY=2012 APPV RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"9625","FY=2012 DISB CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"9626","FY=2012 DISB RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"8120","FY=2012 DECR CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8121","FY=2012 DECR RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8122","FY=2012 DECR RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8123","FY=2012 DECR RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8124","FY=2012 DECR RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8620","FY=2012 DECR CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"8621","FY=2012 DECR RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"9130","FY=2013 APPV CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9131","FY=2013 APPV RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9132","FY=2013 APPV RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9133","FY=2013 APPV RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9134","FY=2013 APPV RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9135","FY=2013 DISB CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9136","FY=2013 DISB RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9137","FY=2013 DISB RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9138","FY=2013 DISB RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9139","FY=2013 DISB RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"9630","FY=2013 APPV CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"9631","FY=2013 APPV RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"1010","CASH WITH TREASURY","",""
"1040","CASH ON HAND & IN TRANSIT","",""
"1101","RCV-SUB-FROM PROGRAM FUND","",""
"1110","ADV TO OTHER AGENCIES & FUNDS","",""
"1111","ADVANCES TO FFB","",""
"1112","ADVANCE TO FFB-503 DEBENTURES","",""
"1113","ADV ON DELIQUENT PAY- SECT 504","",""
"1120","BANKS SHARE DUE ON LOANS REC","",""
"1130","ADV TO HOLDERS SBIC DEB & LN","",""
"1131","ADVANCES TO PRIV INVEST- SBIC","",""
"1133","ADV TO RECEIVERS SBIC DEB & LN","",""
"1135","ADVANCES OUTSTANDING - SBIC PARTICIPATIN","",""
"1141","ADV TO GNMA/FALT INTEREST","",""
"1142","ADV TO GNMA/FAFT INTEREST","",""
"1150","ADV TO SUBCONTRACTORS","",""
"1155","ADVANCES ON SECONDARY MARKET LOANS","",""
"1170","DUE FM PRESID FUND DISASTER CR","",""
"1191","ALW FOR LOSS ON ADVANCES","",""
"1210","DUE FM OTHER AGENCIES & FUNDS","",""
"1211","DUE FM OTHER AGEN CONTRACT OPR","",""
"1213","DUE FM GNMA/FALT INVEST EARN","",""
"1214","DUE FM GNMA/FAFT INVEST EARN","",""
"1220","GUARANTY FEE RECEIVABLE - MONTHLY ONGOING","",""
"1221","GUARANTY FIXED FEES RECEIVABLE","",""
"1226","SBIC USER FEES RECEIVABLE","",""
"1230","EXAMINATION FEES -- SBICS","",""
"1231","EXAMINATION FEES -- OTHER","",""
"1265","Receivable for Fees/Advance Recoveries for Section 503 Pools","",""
"1290","MISCELLANEOUS RECEIVABLES","",""
"1292","RECEIVABLE DUE FROM PURCHASER OF LOAN","",""
"1293","ADVANCE SETTLEMENTS","",""
"1310","ACCRUED INT REC GROSS","",""
"1311","ACCRUED INT REC BANK SHARE","",""
"1312","ACCRUED INT PURCH GROSS","",""
"1313","ACCRUED INT PURCH BANK SHARE","",""
"1314","ACCR INT FFB","",""
"1316","DEFERRED INTEREST RECEIVABLE","",""
"1320","ACCRUED QUARANTEE FEES","",""
"1322","ACCRUED INTEREST LNS SOLD FFB","",""
"1325","RCV-INT-FROM TREAS","",""
"1345","ACC DIV REC ON SBIC PREF STOCK","",""
"1346","ACCR INT RECEIVABLE","",""
"1360","SBIC PREFERRED STOCK","",""
"1370","SBIC SECURITIES ACQUIRED","",""
"1391","ALW UNCL ACR INT PUR","",""
"1510","LOANS REC GROSS","",""
"1511","LOANS REC BKS SHARE","",""
"1512","LNS REC NON-BK LENDER-GROSS","",""
"1513","LNS REC NON-BK LENDER-PT-SHARE","",""
"1522","LOANS SOLD TO FFB - GROSS","",""
"1532","LOANS REC GNMA/FALT GROSS","",""
"1533","LOANS REC GNMA/FALT BKS SHARE","",""
"1534","LOANS REC GNMA/FAFT GROSS","",""
"1535","LOANS REC GNMA/FAFT BKS SHARE","",""
"1536","LOANS OUTSTANDING  FFB","",""
"1591","ALLOW LOSSES LOANS & DEB REC","",""
"1610","JUDGMENTS REC GROSS","",""
"1611","JUDGMENTS REC BKS SHARE","",""
"1620","REC OBTN BY FORECLO GROSS","",""
"1621","REC OBTN BY FORECLO BKS SHARE","",""
"1630","NOTES REC ASSETS ACQ GROSS","",""
"1631","NOTES REC ASSETS ACQ BKS SHARE","",""
"1640","ASSETS ACQ REAL EST GROSS","",""
"1641","ASSETS ACQ REAL EST BKS SHARE","",""
"1650","ASSETS ACQ OTR PROP GROSS","",""
"1651","ASSETS ACQ OTR PROP BKS SHARE","",""
"1660","SECURITIES","",""
"1910","UNDISTRIBUTED EXPENDITURES","",""
"1915","DISCOUNT ON LOANS SOLD TO FFB","",""
"1940","SUBCONTRACTING EQUIPMENT","",""
"1990","OTHER ASSETS - ASSET SALE SPECIFIC  ASSET SALE COSTS","",""
"1991","OTHER ASSETS - START UP ASSET SALE COSTS","",""
"2005","PAY-SUB-TO FINAN ACCT","",""
"2010","DISBURSEMENTS IN TRANSIT","",""
"2011","DUE TO OTHER AGENCIES & FUNDS","",""
"2013","DUE SUB FOR BDE EXP","",""
"2015","PAY-ADMIN","",""
"2019","SUB INC-LIQUID ACCT DUE TREAS","",""
"2020","REFUNDS DUE BORROWERS","",""
"2021","PAYABLE DUE CONTRACTORS - ASSET SALES","",""
"2022","FEES DUE ATTORNEYS ON HURRICANE BETSY/DO","",""
"2023","REFUND DUE BORR -CAMILLE HURRICANE","",""
"2024","FEE DUE ATTORNEY-CAMILLE HURRICANE","",""
"2027","PRN -DUE TREAS ON BORROWING","",""
"2028","INT EXP-DUE TREAS ON BORROWING","",""
"2029","TREASURY BORROWINGS DUE TO CASH INSUFFIC","",""
"2030","DUE BKS THEIR SHARE COLLECTION","",""
"2031","PAYABLE DUE BUYER FOR PAYMENTS RECEIVED AFTER COMMITMENT: ASSET SALE","",""
"2032","DUE BANKS FOR LOAN SALE PROCEEDS","",""
"2040","GUAR FIXED FEES REBATE DUE BANK","",""
"2050","DUE LESSOR  ON LEASE GTY","",""
"2089","DUE SEC FOR UNDER PAY/SEC PAR","",""
"2090","MISCELLANEOUS PAYABLES","",""
"2110","ACCRUED INT PAY TREASURY","",""
"2111","ACCRUED INTR PAYABLE TO TREAS ON BORROWING","",""
"2112","ACCRUED INT PAY DUE GNMA/FALT","",""
"2113","ACCRUED INT PAY DUE GNMA/FAFT","",""
"2115","ACCR INT PAY  ESCROW DEPOSITS","",""
"2116","INT SUBSIDY ON MESBIC DEB GUAR","",""
"2120","BANKS ACCRUED SERVICING FEES","",""
"2210","ADV FM OTHER AGENCIES & FUNDS","",""
"2311","AMT DUE ON LOANS SOLD TO FFB","",""
"2312","AMT DUE FFB-503 GTY","",""
"2313","LIABILITY TO FED FINAN BANK 503 DEBEN*","",""
"2320","DEFERRED CREDITS","",""
"2321","RECEIPT OF PROCEEDS:  ASSET SALE","",""
"2330","EARNEST MONEY DEPOSITS","",""
"2340","PRIN HELD FOR HOLDERS GTY DEBENTURES","",""
"2351","UNAPPLIED REMITTANCES","",""
"2360","ESTIMATED LIABILITY FOR REPS/WARRANTS: ASSET SALE","",""
"2412","PARTICIPATION CERTIF FALT","",""
"2413","TSFRS TO GNMA/FALT PRINCIPAL","",""
"2414","PARTICIPATION CERTIF FAFT","",""
"2415","TSFRS TO GNMA/FAFT PRINCIPAL","",""
"2460","NET BORROWINGS FFB","",""
"2801","DEF PREM NON-BK LENDER PROGRAM","",""
"2810","PRIOR LIENS REAL EST GROSS","",""
"2811","PRIOR LIENS REAL EST BKS SHARE","",""
"2820","PRIOR LIENS OTH PROP GROSS","",""
"2821","PRIOR LIENS OTH PROP BKS SHARE","",""
"2830","LEGAL COSTS CAPITALIZED JUDGM","",""
"2832","DUE BK ON DISALLOWED PUR INT","",""
"2901","LOAN REAPPLICATION CLEAR ACCT","",""
"2902","LOANS SOLD TO FFB","",""
"2903","CUMULATIVE INT ACC ON LNS FFB","",""
"2904","LOAN CLEARING ACCOUNT 503 DEBEN","",""
"2905","503 CAPITALIZED INT CLEARING ACCT","",""
"3001","NET ASSETS TRANSFERRED","",""
"3005","SUB CAP","",""
"3010","APPROPRIATED FUNDS","",""
"3011","NET ASSETS FM SBA REVOLV FUND","",""
"3012","NET ASSETS FM RFC","",""
"3014","FUNDS TO LEASE GUARANTEES","",""
"3015","FUNDS TRSF TO SURETY BOND GTEE","",""
"3016","DBL NET ASSETS TO DISASTER FD","",""
"3017","DBL NET ASSETS FROM BLIF FUND","",""
"3018","REPAYMENTS FM REVOLVING FUNDS","",""
"3019","NET ASSETS FROM LEASE GTY","",""
"3037","ASSETS DONATED FR OTH SRC","",""
"3050","SUB TRANSFERS","",""
"3110","RETAINED INCOME","",""
"3111","PROFIT AND LOSS","",""
"3113","PART SALES INSUFF TRANSFER","",""
"3114","INT INSUFF TRANSFER TO GNMA","",""
"3120","FORGIVE CR DISASTER LOAN PRIN","",""
"3121","FORGIVE CR DISASTER LOAN INT","",""
"3122","FORGIVENESS CRED-CAMILLE HURRICANE","",""
"4020","INT INCOME LOANS REC","",""
"4025","INTEREST INCOME PURCHASE DFLT","",""
"4031","INT INCOME LOANS REC GMNA/FALT","",""
"4032","INT INCOME LOANS REC GNMA/FAFT","",""
"4040","INT INC-FROM TREAS","",""
"4090","INT INCOME OTHER ASSETS REC","",""
"4110","GUARANTEE FEES EARNED","",""
"4120","BUSINESS LNS CLOSING FEES EARN","",""
"4124","NON-BANK LENDER EXAMINATION FEES EARNED","",""
"4125","CERT. DEV. CO. EXAMINATION FEES EARNED","",""
"4130","SBIC EXAMINATION FEES EARN","",""
"4131","SBIC USER FEES EARNED","",""
"4135","SBIC LICENSE FEES EARNED","",""
"4140","SVCING FEES 2NDARY PART LOANS","",""
"4145","SERVICING FEES 503 DEBEN","",""
"4201","APP CAP USED","",""
"4202","APP CAP USED-EXC SUB RTN TREAS","",""
"4203","SUB CAP USED","",""
"4205","SUB INC-FINAN ACCT APPRV INCREASE","",""
"4211","INVESTMENT EARNINGS GNMA/FALT","",""
"4212","INVESTMENT EARNINGS GNMA/FAFT","",""
"4215","DIVIDENDS ON SBIC PERFER STOCK","",""
"4216","DIFFERENTIAL ON LOAN ASSUMP 503 DEBEN","",""
"4217","DISCOUNT ON PAYOFF  503 DEBEN","",""
"4220","INCOME EARNED ON ASSETS ACQ","",""
"4225","INCOME - PROFIT PARTICIPATION PAYMTS SBI","",""
"4226","RENTAL INCOME","",""
"4227","INC RENT FR EXC GOV PROP","",""
"4230","GAIN ON DISPOSITION ASSETS ACQ","",""
"4250","GAIN ON SALE OF LOAN","",""
"4270","MISCELLANEOUS INCOME","",""
"5010","INT EXP TO TREASURY","",""
"5011","INTEREST EXPENSE TO TREASURY","",""
"5012","INTEREST EXPENSE TO TREASURY ON BORROWIN","",""
"5015","INTEREST-PENALTY EXPENSE","",""
"5016","INT SUBSIDY EXP MESBIC DEB GUAR","",""
"5021","INT EXP GNMA/FALT PART CERTIF","",""
"5022","INT EXP GNMA/FAFT PART CERTIF","",""
"5030","INT EXP ON ESCROW","",""
"5040","INT HELD FOR HOLDERS GTY DEBENTURES","",""
"5050","CARES Act fee reimbursement payable","",""
"5060","INTEREST EXPENSE  503 DEBEN","",""
"5105","SUB EXP","",""
"9635","FY=2013 DISB CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"9636","FY=2013 DISB RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"8130","FY=2013 DECR CONTRA       SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8131","FY=2013 DECR RATE #1      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8132","FY=2013 DECR RATE #2      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8133","FY=2013 DECR RATE #3      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8134","FY=2013 DECR RATE #4      SUBSIDY AMT","gpm01","2014-09-04 10:50:54"
"8630","FY=2013 DECR CONTRA       ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"8631","FY=2013 DECR RATE #1      ZEROSUB AMT","gpm01","2014-09-04 10:50:54"
"610 ","decrease monthly ongoing service fee","",""
"9180","FY=2018 APPV CONTRA  SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"9181","FY=2018 APPV RATE #1 SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"9182","FY=2018 APPV RATE #2 SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"9185","FY=2018 DISB CONTRA  SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"9186","FY=2018 DISB RATE #1 SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"9187","FY=2018 DISB RATE #2 SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"9680","FY=2018 APPV CONTRA  ZEROSUB AMT","cntrsb","2017-09-27 17:16:00"
"9681","FY=2018 APPV RATE #1 ZEROSUB AMT","cntrsb","2017-09-27 17:16:00"
"9685","FY=2018 DISB CONTRA  ZEROSUB AMT","cntrsb","2017-09-27 17:16:00"
"9686","FY=2018 DISB RATE #1 ZEROSUB AMT","cntrsb","2017-09-27 17:16:00"
"8180","FY=2018 DECR CONTRA  SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"8181","FY=2018 DECR RATE #1 SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"8182","FY=2018 DECR RATE #2 SUBSIDY AMT","cntrsb","2017-09-27 17:16:00"
"8680","FY=2018 DECR CONTRA  ZEROSUB AMT","cntrsb","2017-09-27 17:16:00"
"8681","FY=2018 DECR RATE #1 ZEROSUB AMT","cntrsb","2017-09-27 17:16:00"
"8170","FY=2017 DECR CONTRA  SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"8171","FY=2017 DECR RATE #1 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"8172","FY=2017 DECR RATE #2 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"8173","FY=2017 DECR RATE #3 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"8174","FY=2017 DECR RATE #4 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"8670","FY=2017 DECR CONTRA  ZEROSUB AMT","srinib","2014-09-04 10:31:59"
"8671","FY=2017 DECR RATE #1 ZEROSUB AMT","srinib","2014-09-04 10:31:59"
"9170","FY=2017 APPV CONTRA  SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9171","FY=2017 APPV RATE #1 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9172","FY=2017 APPV RATE #2 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
